activation conda
activation env
Directory created at: ./taxi_data_Singapore_temp_0313/Model_shard_5_slice_3
Directory structure created at: ./taxi_data_Singapore_temp_0313/Model_shard_5_slice_3
训练数据中 trj_id_set 的数量: 25200
测试数据中 trj_id_set 的数量: 2800
Cluster 样本统计: {0: 89889, 1: 12187, 2: 47169, 3: 53577, 4: 57035, 5: 33818, 6: 54300, 7: 38995}
排序后的 trj_id_set: [78371, 65738, 67884, 75826, 65050, 67025, 39469, 59076, 15234, 71570] (仅显示前10个)

每个聚类排序 shard 的 cluster 样本数量：
Shard 1: {0: 18024, 1: 2537, 2: 9517, 3: 10760, 4: 11528, 5: 6731, 6: 10841, 7: 7863}
Shard 2: {0: 17992, 1: 2502, 2: 9367, 3: 10590, 4: 11369, 5: 6678, 6: 10844, 7: 7849}
Shard 3: {0: 17969, 1: 2451, 2: 9123, 3: 10747, 4: 11354, 5: 6757, 6: 10801, 7: 7940}
Shard 4: {0: 17958, 1: 2333, 2: 9601, 3: 10788, 4: 11391, 5: 6767, 6: 10985, 7: 7590}
Shard 5: {0: 17946, 1: 2364, 2: 9561, 3: 10692, 4: 11393, 5: 6885, 6: 10829, 7: 7753}

每个随机分组 shard 的 cluster 样本数量：
Shard 1: {0: 18302, 1: 2617, 2: 9211, 3: 10656, 4: 11760, 5: 6650, 6: 10593, 7: 7940}
Shard 2: {0: 17576, 1: 2371, 2: 9701, 3: 10753, 4: 10940, 5: 6644, 6: 11332, 7: 7995}
Shard 3: {0: 18566, 1: 2228, 2: 9002, 3: 10575, 4: 11606, 5: 6709, 6: 10659, 7: 7983}
Shard 4: {0: 18008, 1: 2416, 2: 9690, 3: 10641, 4: 11236, 5: 6804, 6: 10890, 7: 7625}
Shard 5: {0: 17437, 1: 2555, 2: 9565, 3: 10952, 4: 11493, 5: 7011, 6: 10826, 7: 7452}
训练分片已保存至: ./taxi_data_Singapore_temp_0313/Model_shard_5_slice_3/npy_index_file/training_shard_random_assignment.npy 和 ./taxi_data_Singapore_temp_0313/Model_shard_5_slice_3/npy_index_file/training_shard_cluster_assignment.npy
测试数据已保存至: ./taxi_data_Singapore_temp_0313/Model_shard_5_slice_3/npy_index_file/test_trj_id_sets.npy
训练数据加载完成，共 386970 条记录
Epoch 1/200, Loss: 464.7219
Epoch 2/200, Loss: 427.7308
Epoch 3/200, Loss: 393.6145
Epoch 4/200, Loss: 360.2431
Epoch 5/200, Loss: 328.0582
Epoch 6/200, Loss: 297.1042
Epoch 7/200, Loss: 267.6102
Epoch 8/200, Loss: 240.1885
Epoch 9/200, Loss: 214.8280
Epoch 10/200, Loss: 191.7212
Epoch 11/200, Loss: 171.7004
Epoch 12/200, Loss: 157.0358
Epoch 13/200, Loss: 147.0774
Epoch 14/200, Loss: 140.1928
Epoch 15/200, Loss: 135.3647
Epoch 16/200, Loss: 132.1498
Epoch 17/200, Loss: 129.9955
Epoch 18/200, Loss: 128.6779
Epoch 19/200, Loss: 128.0362
Epoch 20/200, Loss: 127.7110
Epoch 21/200, Loss: 127.5652
Epoch 22/200, Loss: 127.5129
Epoch 23/200, Loss: 121.0828
Epoch 24/200, Loss: 104.9565
Epoch 25/200, Loss: 97.3173
Epoch 26/200, Loss: 92.7097
Epoch 27/200, Loss: 88.7480
Epoch 28/200, Loss: 85.1023
Epoch 29/200, Loss: 79.8998
Epoch 30/200, Loss: 70.5521
Epoch 31/200, Loss: 56.9122
Epoch 32/200, Loss: 48.8053
Epoch 33/200, Loss: 42.3178
Epoch 34/200, Loss: 36.6668
Epoch 35/200, Loss: 31.6249
Epoch 36/200, Loss: 27.1588
Epoch 37/200, Loss: 23.2977
Epoch 38/200, Loss: 19.8630
Epoch 39/200, Loss: 16.8746
Epoch 40/200, Loss: 14.5109
Epoch 41/200, Loss: 12.7391
Epoch 42/200, Loss: 11.2310
Epoch 43/200, Loss: 10.0525
Epoch 44/200, Loss: 9.1039
Epoch 45/200, Loss: 8.3312
Epoch 46/200, Loss: 7.6024
Epoch 47/200, Loss: 7.0798
Epoch 48/200, Loss: 6.5784
Epoch 49/200, Loss: 6.2045
Epoch 50/200, Loss: 5.8340
Epoch 51/200, Loss: 5.5604
Epoch 52/200, Loss: 5.2567
Epoch 53/200, Loss: 5.0467
Epoch 54/200, Loss: 4.8989
Epoch 55/200, Loss: 4.7563
Epoch 56/200, Loss: 4.5667
Epoch 57/200, Loss: 4.4599
Epoch 58/200, Loss: 4.3929
Epoch 59/200, Loss: 4.2539
Epoch 60/200, Loss: 4.1434
Epoch 61/200, Loss: 4.2563
Epoch 62/200, Loss: 4.1015
Epoch 63/200, Loss: 4.0115
Epoch 64/200, Loss: 3.9289
Epoch 65/200, Loss: 3.8347
Epoch 66/200, Loss: 3.8032
Epoch 67/200, Loss: 3.7579
Epoch 68/200, Loss: 3.6916
Epoch 69/200, Loss: 3.6344
Epoch 70/200, Loss: 3.5901
Epoch 71/200, Loss: 3.5535
Epoch 72/200, Loss: 3.5366
Epoch 73/200, Loss: 3.4746
Epoch 74/200, Loss: 3.4301
Epoch 75/200, Loss: 3.4053
Epoch 76/200, Loss: 3.3935
Epoch 77/200, Loss: 3.3670
Epoch 78/200, Loss: 3.3114
Epoch 79/200, Loss: 3.3182
Epoch 80/200, Loss: 3.2607
Epoch 81/200, Loss: 3.2247
Epoch 82/200, Loss: 3.2219
